"7501-19960928","ALL I WANT","SKUNK ANANSIE","ONE LITTLE INDIAN","14","1"
"7501-19970614","BRAZEN 'WEEP'","SKUNK ANANSIE","ONE LITTLE INDIAN","11","1"
"7501-19950902","CHARITY","SKUNK ANANSIE","ONE LITTLE INDIAN","40","1"
"7501-19990313","CHARLIE BIG POTATO","SKUNK ANANSIE","VIRGIN","17","1"
"7501-19970201","HEDONISM (JUST BECAUSE YOU FEEL GOOD)","SKUNK ANANSIE","ONE LITTLE INDIAN","13","1"
"7501-19950617","I CAN DREAM","SKUNK ANANSIE","ONE LITTLE INDIAN","41","1"
"7501-19990807","LATELY","SKUNK ANANSIE","VIRGIN","33","1"
"7501-19990522","SECRETLY","SKUNK ANANSIE","VIRGIN","16","1"
"7501-19950325","SELLING JESUS","SKUNK ANANSIE","ONE LITTLE INDIAN","46","1"
"7501-19961130","TWISTED [EVERYDAY HURTS]","SKUNK ANANSIE","ONE LITTLE INDIAN","26","1"
"7501-19960127","WEAK","SKUNK ANANSIE","ONE LITTLE INDIAN","20","1"
