id,peakdate,title,artist,label,peakpos,woc
"rQOdOBN0cF8","19960928","ALL I WANT","SKUNK ANANSIE","ONE LITTLE INDIAN","14","1"
"BC4FN4uubYQ","19970614","BRAZEN 'WEEP'","SKUNK ANANSIE","ONE LITTLE INDIAN","11","1"
"qQ7ZeSU8ZXM","19950902","CHARITY","SKUNK ANANSIE","ONE LITTLE INDIAN","40","1"
"9E9-L9_S3V0","19990313","CHARLIE BIG POTATO","SKUNK ANANSIE","VIRGIN","17","1"
"LLs-JP5FGAg","19970201","HEDONISM (JUST BECAUSE YOU FEEL GOOD)","SKUNK ANANSIE","ONE LITTLE INDIAN","13","1"
"gny98bdDBAc","19950617","I CAN DREAM","SKUNK ANANSIE","ONE LITTLE INDIAN","41","1"
"wIiYq-pxqC4","19990807","LATELY","SKUNK ANANSIE","VIRGIN","33","1"
"7tm_zX8Nj2E","19990522","SECRETLY","SKUNK ANANSIE","VIRGIN","16","1"
"0P0yUagEXBE","19950325","SELLING JESUS","SKUNK ANANSIE","ONE LITTLE INDIAN","46","1"
"Zqe4NbLW7Ww","19961130","TWISTED [EVERYDAY HURTS]","SKUNK ANANSIE","ONE LITTLE INDIAN","26","1"
"nPglNjxVHiM","19960127","WEAK","SKUNK ANANSIE","ONE LITTLE INDIAN","20","1"
